Heuristic,Puzzle,Depth,Explored Nodes,Max Fringe Size,Elapsed Time,Expanded Nodes
misplaced,"-------------
| 3 | 1 | 4 |
-------------
|   | 5 | 2 |
-------------
| 6 | 7 | 8 |
-------------",7,45,15,0.000574500001675915,15
euclidean,"-------------
| 3 | 1 | 4 |
-------------
|   | 5 | 2 |
-------------
| 6 | 7 | 8 |
-------------",7,28,10,0.0004679000012401957,9
manhattan,"-------------
| 3 | 1 | 4 |
-------------
|   | 5 | 2 |
-------------
| 6 | 7 | 8 |
-------------",7,31,11,0.0006082999971113168,10
out_of_position,"-------------
| 3 | 1 | 4 |
-------------
|   | 5 | 2 |
-------------
| 6 | 7 | 8 |
-------------",7,33,11,0.0005032000008213799,11
misplaced,"-------------
| 1 | 4 | 2 |
-------------
|   | 7 | 5 |
-------------
| 3 | 6 | 8 |
-------------",5,19,7,0.0001726000009512063,6
euclidean,"-------------
| 1 | 4 | 2 |
-------------
|   | 7 | 5 |
-------------
| 3 | 6 | 8 |
-------------",5,19,7,0.0002747999969869852,6
manhattan,"-------------
| 1 | 4 | 2 |
-------------
|   | 7 | 5 |
-------------
| 3 | 6 | 8 |
-------------",5,19,7,0.00026509999952395447,6
out_of_position,"-------------
| 1 | 4 | 2 |
-------------
|   | 7 | 5 |
-------------
| 3 | 6 | 8 |
-------------",5,19,7,0.0004153000008955132,6
misplaced,"-------------
| 1 | 4 | 2 |
-------------
| 6 | 3 | 5 |
-------------
| 7 |   | 8 |
-------------",5,19,7,0.00029599999834317714,6
euclidean,"-------------
| 1 | 4 | 2 |
-------------
| 6 | 3 | 5 |
-------------
| 7 |   | 8 |
-------------",5,19,7,0.00031520000266027637,6
manhattan,"-------------
| 1 | 4 | 2 |
-------------
| 6 | 3 | 5 |
-------------
| 7 |   | 8 |
-------------",5,19,7,0.0002554000020609237,6
out_of_position,"-------------
| 1 | 4 | 2 |
-------------
| 6 | 3 | 5 |
-------------
| 7 |   | 8 |
-------------",5,19,7,0.00024250000205938704,6
misplaced,"-------------
| 4 |   | 2 |
-------------
| 1 | 3 | 5 |
-------------
| 6 | 7 | 8 |
-------------",5,28,10,0.00028620000011869706,9
euclidean,"-------------
| 4 |   | 2 |
-------------
| 1 | 3 | 5 |
-------------
| 6 | 7 | 8 |
-------------",5,17,7,0.00030340000012074597,5
manhattan,"-------------
| 4 |   | 2 |
-------------
| 1 | 3 | 5 |
-------------
| 6 | 7 | 8 |
-------------",5,17,7,0.00028029999884893186,5
out_of_position,"-------------
| 4 |   | 2 |
-------------
| 1 | 3 | 5 |
-------------
| 6 | 7 | 8 |
-------------",5,17,7,0.00023080000028130598,5
misplaced,"-------------
| 6 | 3 | 1 |
-------------
|   | 5 | 2 |
-------------
| 7 | 4 | 8 |
-------------",9,59,17,0.0008524000004399568,21
euclidean,"-------------
| 6 | 3 | 1 |
-------------
|   | 5 | 2 |
-------------
| 7 | 4 | 8 |
-------------",9,27,9,0.00042350000148871914,9
manhattan,"-------------
| 6 | 3 | 1 |
-------------
|   | 5 | 2 |
-------------
| 7 | 4 | 8 |
-------------",9,30,10,0.00043029999869759195,10
out_of_position,"-------------
| 6 | 3 | 1 |
-------------
|   | 5 | 2 |
-------------
| 7 | 4 | 8 |
-------------",9,48,14,0.0009083000004466157,17
misplaced,"-------------
| 3 |   | 1 |
-------------
| 4 | 5 | 2 |
-------------
| 6 | 7 | 8 |
-------------",5,19,7,0.00018879999697674066,6
euclidean,"-------------
| 3 |   | 1 |
-------------
| 4 | 5 | 2 |
-------------
| 6 | 7 | 8 |
-------------",5,19,7,0.0002773000014713034,6
manhattan,"-------------
| 3 |   | 1 |
-------------
| 4 | 5 | 2 |
-------------
| 6 | 7 | 8 |
-------------",5,19,7,0.00033999999868683517,6
out_of_position,"-------------
| 3 |   | 1 |
-------------
| 4 | 5 | 2 |
-------------
| 6 | 7 | 8 |
-------------",5,19,7,0.0002492000021447893,6
misplaced,"-------------
| 1 |   | 2 |
-------------
| 3 | 4 | 5 |
-------------
| 6 | 7 | 8 |
-------------",1,5,3,7.339999865507707e-05,1
euclidean,"-------------
| 1 |   | 2 |
-------------
| 3 | 4 | 5 |
-------------
| 6 | 7 | 8 |
-------------",1,5,3,0.0001526000014564488,1
manhattan,"-------------
| 1 |   | 2 |
-------------
| 3 | 4 | 5 |
-------------
| 6 | 7 | 8 |
-------------",1,5,3,6.86999992467463e-05,1
out_of_position,"-------------
| 1 |   | 2 |
-------------
| 3 | 4 | 5 |
-------------
| 6 | 7 | 8 |
-------------",1,5,3,8.909999814932235e-05,1
misplaced,"-------------
| 3 | 1 | 2 |
-------------
| 7 | 6 |   |
-------------
| 4 | 8 | 5 |
-------------",9,78,21,0.0013939999989815988,29
euclidean,"-------------
| 3 | 1 | 2 |
-------------
| 7 | 6 |   |
-------------
| 4 | 8 | 5 |
-------------",9,52,16,0.0009933000001183245,18
manhattan,"-------------
| 3 | 1 | 2 |
-------------
| 7 | 6 |   |
-------------
| 4 | 8 | 5 |
-------------",9,53,17,0.0017655999981798232,18
out_of_position,"-------------
| 3 | 1 | 2 |
-------------
| 7 | 6 |   |
-------------
| 4 | 8 | 5 |
-------------",9,42,12,0.0008954999975685496,15
misplaced,"-------------
| 3 | 1 | 2 |
-------------
| 4 | 7 | 5 |
-------------
| 6 |   | 8 |
-------------",3,12,6,9.420000060345046e-05,3
euclidean,"-------------
| 3 | 1 | 2 |
-------------
| 4 | 7 | 5 |
-------------
| 6 |   | 8 |
-------------",3,12,6,0.00016210000103455968,3
manhattan,"-------------
| 3 | 1 | 2 |
-------------
| 4 | 7 | 5 |
-------------
| 6 |   | 8 |
-------------",3,12,6,0.0001497999983257614,3
out_of_position,"-------------
| 3 | 1 | 2 |
-------------
| 4 | 7 | 5 |
-------------
| 6 |   | 8 |
-------------",3,12,6,0.00016229999891947955,3
misplaced,"-------------
| 1 | 2 | 5 |
-------------
| 3 | 4 | 8 |
-------------
| 6 |   | 7 |
-------------",5,15,5,0.00018009999985224567,5
euclidean,"-------------
| 1 | 2 | 5 |
-------------
| 3 | 4 | 8 |
-------------
| 6 |   | 7 |
-------------",5,15,5,0.00035740000021178275,5
manhattan,"-------------
| 1 | 2 | 5 |
-------------
| 3 | 4 | 8 |
-------------
| 6 |   | 7 |
-------------",5,21,7,0.00032750000173109584,7
out_of_position,"-------------
| 1 | 2 | 5 |
-------------
| 3 | 4 | 8 |
-------------
| 6 |   | 7 |
-------------",5,15,5,0.00020170000061625615,5
misplaced,"-------------
| 1 | 4 | 2 |
-------------
| 6 | 3 | 5 |
-------------
| 7 |   | 8 |
-------------",5,19,7,0.00016590000086580403,6
euclidean,"-------------
| 1 | 4 | 2 |
-------------
| 6 | 3 | 5 |
-------------
| 7 |   | 8 |
-------------",5,19,7,0.000267100000201026,6
manhattan,"-------------
| 1 | 4 | 2 |
-------------
| 6 | 3 | 5 |
-------------
| 7 |   | 8 |
-------------",5,19,7,0.00027770000087912194,6
out_of_position,"-------------
| 1 | 4 | 2 |
-------------
| 6 | 3 | 5 |
-------------
| 7 |   | 8 |
-------------",5,19,7,0.0004104999970877543,6
misplaced,"-------------
| 3 |   | 2 |
-------------
| 4 | 1 | 5 |
-------------
| 6 | 7 | 8 |
-------------",3,14,6,0.00014480000027106144,4
euclidean,"-------------
| 3 |   | 2 |
-------------
| 4 | 1 | 5 |
-------------
| 6 | 7 | 8 |
-------------",3,12,6,0.0003528000015649013,3
manhattan,"-------------
| 3 |   | 2 |
-------------
| 4 | 1 | 5 |
-------------
| 6 | 7 | 8 |
-------------",3,12,6,0.0002683000020624604,3
out_of_position,"-------------
| 3 |   | 2 |
-------------
| 4 | 1 | 5 |
-------------
| 6 | 7 | 8 |
-------------",3,12,6,0.00020080000103916973,3
misplaced,"-------------
| 3 | 1 | 2 |
-------------
| 7 | 5 |   |
-------------
| 4 | 6 | 8 |
-------------",7,40,12,0.0007009000000834931,14
euclidean,"-------------
| 3 | 1 | 2 |
-------------
| 7 | 5 |   |
-------------
| 4 | 6 | 8 |
-------------",7,29,11,0.0005293000031088013,9
manhattan,"-------------
| 3 | 1 | 2 |
-------------
| 7 | 5 |   |
-------------
| 4 | 6 | 8 |
-------------",7,32,12,0.0005397000022639986,10
out_of_position,"-------------
| 3 | 1 | 2 |
-------------
| 7 | 5 |   |
-------------
| 4 | 6 | 8 |
-------------",7,26,10,0.0003720999993674923,8
misplaced,"-------------
| 3 | 2 | 4 |
-------------
| 6 | 1 |   |
-------------
| 7 | 8 | 5 |
-------------",9,60,20,0.000864099998580059,20
euclidean,"-------------
| 3 | 2 | 4 |
-------------
| 6 | 1 |   |
-------------
| 7 | 8 | 5 |
-------------",9,57,17,0.001419999996869592,20
manhattan,"-------------
| 3 | 2 | 4 |
-------------
| 6 | 1 |   |
-------------
| 7 | 8 | 5 |
-------------",9,55,15,0.0010646000009728596,20
out_of_position,"-------------
| 3 | 2 | 4 |
-------------
| 6 | 1 |   |
-------------
| 7 | 8 | 5 |
-------------",9,46,12,0.0007612000008521136,17
misplaced,"-------------
| 3 | 1 | 2 |
-------------
| 4 | 5 | 8 |
-------------
| 6 |   | 7 |
-------------",5,17,7,0.00014830000145593658,5
euclidean,"-------------
| 3 | 1 | 2 |
-------------
| 4 | 5 | 8 |
-------------
| 6 |   | 7 |
-------------",5,26,10,0.0005175999976927415,8
manhattan,"-------------
| 3 | 1 | 2 |
-------------
| 4 | 5 | 8 |
-------------
| 6 |   | 7 |
-------------",5,28,10,0.0004341000021668151,9
out_of_position,"-------------
| 3 | 1 | 2 |
-------------
| 4 | 5 | 8 |
-------------
| 6 |   | 7 |
-------------",5,17,7,0.00022870000248076394,5
misplaced,"-------------
| 1 | 5 | 4 |
-------------
| 3 | 7 |   |
-------------
| 6 | 8 | 2 |
-------------",9,80,22,0.0013136999987182207,29
euclidean,"-------------
| 1 | 5 | 4 |
-------------
| 3 | 7 |   |
-------------
| 6 | 8 | 2 |
-------------",9,50,16,0.0009304000013798941,17
manhattan,"-------------
| 1 | 5 | 4 |
-------------
| 3 | 7 |   |
-------------
| 6 | 8 | 2 |
-------------",9,47,15,0.0009890000001178123,16
out_of_position,"-------------
| 1 | 5 | 4 |
-------------
| 3 | 7 |   |
-------------
| 6 | 8 | 2 |
-------------",9,50,16,0.0009079000010387972,17
misplaced,"-------------
| 1 |   | 5 |
-------------
| 3 | 2 | 7 |
-------------
| 4 | 6 | 8 |
-------------",11,182,48,0.005711599998903694,67
euclidean,"-------------
| 1 |   | 5 |
-------------
| 3 | 2 | 7 |
-------------
| 4 | 6 | 8 |
-------------",11,93,29,0.0029981000006955583,32
manhattan,"-------------
| 1 |   | 5 |
-------------
| 3 | 2 | 7 |
-------------
| 4 | 6 | 8 |
-------------",11,68,20,0.0013192000005801674,24
out_of_position,"-------------
| 1 |   | 5 |
-------------
| 3 | 2 | 7 |
-------------
| 4 | 6 | 8 |
-------------",11,72,20,0.0014241999997466337,26
misplaced,"-------------
| 4 | 3 | 2 |
-------------
|   | 1 | 8 |
-------------
| 6 | 5 | 7 |
-------------",9,82,24,0.0014323999967018608,29
euclidean,"-------------
| 4 | 3 | 2 |
-------------
|   | 1 | 8 |
-------------
| 6 | 5 | 7 |
-------------",9,54,18,0.001467000001866836,18
manhattan,"-------------
| 4 | 3 | 2 |
-------------
|   | 1 | 8 |
-------------
| 6 | 5 | 7 |
-------------",9,57,17,0.0011266000001342036,20
out_of_position,"-------------
| 4 | 3 | 2 |
-------------
|   | 1 | 8 |
-------------
| 6 | 5 | 7 |
-------------",9,34,12,0.0005138000014994759,11
misplaced,"-------------
| 3 | 4 | 1 |
-------------
| 7 | 6 | 2 |
-------------
| 8 |   | 5 |
-------------",11,143,35,0.003559999997378327,54
euclidean,"-------------
| 3 | 4 | 1 |
-------------
| 7 | 6 | 2 |
-------------
| 8 |   | 5 |
-------------",11,69,19,0.0021703999991586898,25
manhattan,"-------------
| 3 | 4 | 1 |
-------------
| 7 | 6 | 2 |
-------------
| 8 |   | 5 |
-------------",11,78,20,0.00164789999689674,29
out_of_position,"-------------
| 3 | 4 | 1 |
-------------
| 7 | 6 | 2 |
-------------
| 8 |   | 5 |
-------------",11,74,18,0.001670399997237837,28
misplaced,"-------------
| 1 |   | 4 |
-------------
| 3 | 5 | 2 |
-------------
| 6 | 7 | 8 |
-------------",5,23,9,0.0002187000027333852,7
euclidean,"-------------
| 1 |   | 4 |
-------------
| 3 | 5 | 2 |
-------------
| 6 | 7 | 8 |
-------------",5,19,7,0.00026450000223121606,6
manhattan,"-------------
| 1 |   | 4 |
-------------
| 3 | 5 | 2 |
-------------
| 6 | 7 | 8 |
-------------",5,22,8,0.0005697999986296054,7
out_of_position,"-------------
| 1 |   | 4 |
-------------
| 3 | 5 | 2 |
-------------
| 6 | 7 | 8 |
-------------",5,19,7,0.00029009999707341194,6
misplaced,"-------------
| 3 | 1 | 2 |
-------------
|   | 4 | 5 |
-------------
| 6 | 7 | 8 |
-------------",1,5,3,3.740000101970509e-05,1
euclidean,"-------------
| 3 | 1 | 2 |
-------------
|   | 4 | 5 |
-------------
| 6 | 7 | 8 |
-------------",1,5,3,6.360000043059699e-05,1
manhattan,"-------------
| 3 | 1 | 2 |
-------------
|   | 4 | 5 |
-------------
| 6 | 7 | 8 |
-------------",1,5,3,6.960000246181153e-05,1
out_of_position,"-------------
| 3 | 1 | 2 |
-------------
|   | 4 | 5 |
-------------
| 6 | 7 | 8 |
-------------",1,5,3,5.48999996681232e-05,1
misplaced,"-------------
| 7 | 1 | 2 |
-------------
|   | 3 | 5 |
-------------
| 6 | 4 | 8 |
-------------",13,567,133,0.07263040000179899,217
euclidean,"-------------
| 7 | 1 | 2 |
-------------
|   | 3 | 5 |
-------------
| 6 | 4 | 8 |
-------------",13,334,86,0.05169970000133617,124
manhattan,"-------------
| 7 | 1 | 2 |
-------------
|   | 3 | 5 |
-------------
| 6 | 4 | 8 |
-------------",13,330,88,0.0344952999985253,121
out_of_position,"-------------
| 7 | 1 | 2 |
-------------
|   | 3 | 5 |
-------------
| 6 | 4 | 8 |
-------------",13,388,96,0.04972210000050836,146
misplaced,"-------------
| 1 |   | 2 |
-------------
| 3 | 4 | 5 |
-------------
| 6 | 7 | 8 |
-------------",1,5,3,7.019999975454994e-05,1
euclidean,"-------------
| 1 |   | 2 |
-------------
| 3 | 4 | 5 |
-------------
| 6 | 7 | 8 |
-------------",1,5,3,0.0001396000006934628,1
manhattan,"-------------
| 1 |   | 2 |
-------------
| 3 | 4 | 5 |
-------------
| 6 | 7 | 8 |
-------------",1,5,3,0.00011850000009872019,1
out_of_position,"-------------
| 1 |   | 2 |
-------------
| 3 | 4 | 5 |
-------------
| 6 | 7 | 8 |
-------------",1,5,3,0.0001640999980736524,1
misplaced,"-------------
| 1 | 4 | 2 |
-------------
| 3 | 5 | 8 |
-------------
| 6 |   | 7 |
-------------",5,17,7,0.000192599996807985,5
euclidean,"-------------
| 1 | 4 | 2 |
-------------
| 3 | 5 | 8 |
-------------
| 6 |   | 7 |
-------------",5,26,10,0.0012419999984558672,8
manhattan,"-------------
| 1 | 4 | 2 |
-------------
| 3 | 5 | 8 |
-------------
| 6 |   | 7 |
-------------",5,28,10,0.0004819000023417175,9
out_of_position,"-------------
| 1 | 4 | 2 |
-------------
| 3 | 5 | 8 |
-------------
| 6 |   | 7 |
-------------",5,17,7,0.0002537000000302214,5
misplaced,"-------------
| 3 | 1 | 2 |
-------------
| 6 | 5 |   |
-------------
| 7 | 4 | 8 |
-------------",5,17,7,0.00014659999942523427,5
euclidean,"-------------
| 3 | 1 | 2 |
-------------
| 6 | 5 |   |
-------------
| 7 | 4 | 8 |
-------------",5,17,7,0.0004627999987860676,5
manhattan,"-------------
| 3 | 1 | 2 |
-------------
| 6 | 5 |   |
-------------
| 7 | 4 | 8 |
-------------",5,20,8,0.000363799998012837,6
out_of_position,"-------------
| 3 | 1 | 2 |
-------------
| 6 | 5 |   |
-------------
| 7 | 4 | 8 |
-------------",5,17,7,0.0002542000001994893,5
misplaced,"-------------
| 1 | 7 | 4 |
-------------
|   | 3 | 2 |
-------------
| 6 | 8 | 5 |
-------------",9,57,17,0.0008013999977265485,20
euclidean,"-------------
| 1 | 7 | 4 |
-------------
|   | 3 | 2 |
-------------
| 6 | 8 | 5 |
-------------",9,36,12,0.0006047999995644204,12
manhattan,"-------------
| 1 | 7 | 4 |
-------------
|   | 3 | 2 |
-------------
| 6 | 8 | 5 |
-------------",9,38,12,0.0006580000008398201,13
out_of_position,"-------------
| 1 | 7 | 4 |
-------------
|   | 3 | 2 |
-------------
| 6 | 8 | 5 |
-------------",9,35,11,0.0007257999968715012,12
misplaced,"-------------
| 1 | 4 | 2 |
-------------
|   | 5 | 8 |
-------------
| 3 | 6 | 7 |
-------------",7,24,8,0.00022820000231149606,8
euclidean,"-------------
| 1 | 4 | 2 |
-------------
|   | 5 | 8 |
-------------
| 3 | 6 | 7 |
-------------",7,33,11,0.0005326999998942483,11
manhattan,"-------------
| 1 | 4 | 2 |
-------------
|   | 5 | 8 |
-------------
| 3 | 6 | 7 |
-------------",7,42,14,0.0006843000010121614,14
out_of_position,"-------------
| 1 | 4 | 2 |
-------------
|   | 5 | 8 |
-------------
| 3 | 6 | 7 |
-------------",7,24,8,0.0003501999999571126,8
misplaced,"-------------
| 1 | 4 | 2 |
-------------
|   | 5 | 8 |
-------------
| 3 | 6 | 7 |
-------------",7,24,8,0.0002550000026531052,8
euclidean,"-------------
| 1 | 4 | 2 |
-------------
|   | 5 | 8 |
-------------
| 3 | 6 | 7 |
-------------",7,33,11,0.0006886000010126736,11
manhattan,"-------------
| 1 | 4 | 2 |
-------------
|   | 5 | 8 |
-------------
| 3 | 6 | 7 |
-------------",7,42,14,0.0007589999986521434,14
out_of_position,"-------------
| 1 | 4 | 2 |
-------------
|   | 5 | 8 |
-------------
| 3 | 6 | 7 |
-------------",7,24,8,0.0003541000005498063,8
misplaced,"-------------
| 1 | 2 | 8 |
-------------
| 5 | 4 |   |
-------------
| 3 | 6 | 7 |
-------------",11,149,43,0.004014699999970617,53
euclidean,"-------------
| 1 | 2 | 8 |
-------------
| 5 | 4 |   |
-------------
| 3 | 6 | 7 |
-------------",11,99,31,0.0030670999985886738,34
manhattan,"-------------
| 1 | 2 | 8 |
-------------
| 5 | 4 |   |
-------------
| 3 | 6 | 7 |
-------------",11,95,29,0.002235099997051293,33
out_of_position,"-------------
| 1 | 2 | 8 |
-------------
| 5 | 4 |   |
-------------
| 3 | 6 | 7 |
-------------",11,86,22,0.0018806999978551175,32
misplaced,"-------------
| 3 |   | 1 |
-------------
| 4 | 5 | 2 |
-------------
| 6 | 7 | 8 |
-------------",5,19,7,0.0003099999994446989,6
euclidean,"-------------
| 3 |   | 1 |
-------------
| 4 | 5 | 2 |
-------------
| 6 | 7 | 8 |
-------------",5,19,7,0.00031769999986863695,6
manhattan,"-------------
| 3 |   | 1 |
-------------
| 4 | 5 | 2 |
-------------
| 6 | 7 | 8 |
-------------",5,19,7,0.00027739999859477393,6
out_of_position,"-------------
| 3 |   | 1 |
-------------
| 4 | 5 | 2 |
-------------
| 6 | 7 | 8 |
-------------",5,19,7,0.0002505000011296943,6
misplaced,"-------------
| 3 | 1 | 4 |
-------------
|   | 6 | 2 |
-------------
| 7 | 5 | 8 |
-------------",11,182,48,0.006042899996828055,67
euclidean,"-------------
| 3 | 1 | 4 |
-------------
|   | 6 | 2 |
-------------
| 7 | 5 | 8 |
-------------",11,93,29,0.002337099998840131,32
manhattan,"-------------
| 3 | 1 | 4 |
-------------
|   | 6 | 2 |
-------------
| 7 | 5 | 8 |
-------------",11,68,20,0.0013515000027837232,24
out_of_position,"-------------
| 3 | 1 | 4 |
-------------
|   | 6 | 2 |
-------------
| 7 | 5 | 8 |
-------------",11,72,20,0.0014878000001772307,26
misplaced,"-------------
| 3 |   | 2 |
-------------
| 4 | 1 | 5 |
-------------
| 6 | 7 | 8 |
-------------",3,14,6,0.00013939999917056412,4
euclidean,"-------------
| 3 |   | 2 |
-------------
| 4 | 1 | 5 |
-------------
| 6 | 7 | 8 |
-------------",3,12,6,0.0001878000002761837,3
manhattan,"-------------
| 3 |   | 2 |
-------------
| 4 | 1 | 5 |
-------------
| 6 | 7 | 8 |
-------------",3,12,6,0.000158200000441866,3
out_of_position,"-------------
| 3 |   | 2 |
-------------
| 4 | 1 | 5 |
-------------
| 6 | 7 | 8 |
-------------",3,12,6,0.00016590000086580403,3
misplaced,"-------------
| 1 |   | 4 |
-------------
| 3 | 8 | 2 |
-------------
| 6 | 5 | 7 |
-------------",9,76,24,0.0012136000004829839,26
euclidean,"-------------
| 1 |   | 4 |
-------------
| 3 | 8 | 2 |
-------------
| 6 | 5 | 7 |
-------------",9,49,17,0.0009968999984266702,16
manhattan,"-------------
| 1 |   | 4 |
-------------
| 3 | 8 | 2 |
-------------
| 6 | 5 | 7 |
-------------",9,53,17,0.0010469999979250133,18
out_of_position,"-------------
| 1 |   | 4 |
-------------
| 3 | 8 | 2 |
-------------
| 6 | 5 | 7 |
-------------",9,36,12,0.0005467000009957701,12
misplaced,"-------------
| 1 | 2 | 5 |
-------------
| 6 | 3 | 8 |
-------------
| 4 |   | 7 |
-------------",9,60,20,0.0008920000000216532,20
euclidean,"-------------
| 1 | 2 | 5 |
-------------
| 6 | 3 | 8 |
-------------
| 4 |   | 7 |
-------------",9,57,17,0.0010633000019879546,20
manhattan,"-------------
| 1 | 2 | 5 |
-------------
| 6 | 3 | 8 |
-------------
| 4 |   | 7 |
-------------",9,55,15,0.0012499000004027039,20
out_of_position,"-------------
| 1 | 2 | 5 |
-------------
| 6 | 3 | 8 |
-------------
| 4 |   | 7 |
-------------",9,46,12,0.0008133000010275282,17
misplaced,"-------------
| 1 | 4 | 2 |
-------------
| 3 | 7 | 5 |
-------------
| 6 |   | 8 |
-------------",3,12,6,9.230000068782829e-05,3
euclidean,"-------------
| 1 | 4 | 2 |
-------------
| 3 | 7 | 5 |
-------------
| 6 |   | 8 |
-------------",3,12,6,0.00018869999985327013,3
manhattan,"-------------
| 1 | 4 | 2 |
-------------
| 3 | 7 | 5 |
-------------
| 6 |   | 8 |
-------------",3,12,6,0.00015020000137155876,3
out_of_position,"-------------
| 1 | 4 | 2 |
-------------
| 3 | 7 | 5 |
-------------
| 6 |   | 8 |
-------------",3,12,6,0.0001688999982434325,3
misplaced,"-------------
| 1 | 2 | 5 |
-------------
| 3 | 7 | 4 |
-------------
| 6 |   | 8 |
-------------",5,17,7,0.00016139999934239313,5
euclidean,"-------------
| 1 | 2 | 5 |
-------------
| 3 | 7 | 4 |
-------------
| 6 |   | 8 |
-------------",5,17,7,0.00031379999927594326,5
manhattan,"-------------
| 1 | 2 | 5 |
-------------
| 3 | 7 | 4 |
-------------
| 6 |   | 8 |
-------------",5,25,9,0.0003483000000414904,8
out_of_position,"-------------
| 1 | 2 | 5 |
-------------
| 3 | 7 | 4 |
-------------
| 6 |   | 8 |
-------------",5,17,7,0.00022109999918029644,5
misplaced,"-------------
| 7 | 4 | 1 |
-------------
| 3 | 8 | 2 |
-------------
| 6 |   | 5 |
-------------",13,476,114,0.03671879999819794,181
euclidean,"-------------
| 7 | 4 | 1 |
-------------
| 3 | 8 | 2 |
-------------
| 6 |   | 5 |
-------------",13,284,76,0.016327200002706377,104
manhattan,"-------------
| 7 | 4 | 1 |
-------------
| 3 | 8 | 2 |
-------------
| 6 |   | 5 |
-------------",13,257,67,0.012264500001037959,95
out_of_position,"-------------
| 7 | 4 | 1 |
-------------
| 3 | 8 | 2 |
-------------
| 6 |   | 5 |
-------------",13,254,60,0.01174900000114576,97
misplaced,"-------------
| 1 | 4 | 2 |
-------------
|   | 6 | 7 |
-------------
| 8 | 3 | 5 |
-------------",11,169,43,0.006648000002314802,63
euclidean,"-------------
| 1 | 4 | 2 |
-------------
|   | 6 | 7 |
-------------
| 8 | 3 | 5 |
-------------",11,83,25,0.0020261999998183455,29
manhattan,"-------------
| 1 | 4 | 2 |
-------------
|   | 6 | 7 |
-------------
| 8 | 3 | 5 |
-------------",11,71,19,0.0022656999972241465,26
out_of_position,"-------------
| 1 | 4 | 2 |
-------------
|   | 6 | 7 |
-------------
| 8 | 3 | 5 |
-------------",11,84,24,0.0019203999981982633,30
misplaced,"-------------
| 4 | 3 | 2 |
-------------
|   | 1 | 5 |
-------------
| 6 | 7 | 8 |
-------------",5,28,10,0.0003214999996998813,9
euclidean,"-------------
| 4 | 3 | 2 |
-------------
|   | 1 | 5 |
-------------
| 6 | 7 | 8 |
-------------",5,17,7,0.0002902999985963106,5
manhattan,"-------------
| 4 | 3 | 2 |
-------------
|   | 1 | 5 |
-------------
| 6 | 7 | 8 |
-------------",5,17,7,0.0003116999978374224,5
out_of_position,"-------------
| 4 | 3 | 2 |
-------------
|   | 1 | 5 |
-------------
| 6 | 7 | 8 |
-------------",5,17,7,0.00024029999985941686,5
misplaced,"-------------
| 4 |   | 3 |
-------------
| 1 | 5 | 2 |
-------------
| 6 | 7 | 8 |
-------------",9,108,30,0.00254020000284072,39
euclidean,"-------------
| 4 |   | 3 |
-------------
| 1 | 5 | 2 |
-------------
| 6 | 7 | 8 |
-------------",9,51,17,0.001000600001134444,17
manhattan,"-------------
| 4 |   | 3 |
-------------
| 1 | 5 | 2 |
-------------
| 6 | 7 | 8 |
-------------",9,42,14,0.0009228000017174054,14
out_of_position,"-------------
| 4 |   | 3 |
-------------
| 1 | 5 | 2 |
-------------
| 6 | 7 | 8 |
-------------",9,55,17,0.000974599999608472,19
misplaced,"-------------
| 3 |   | 2 |
-------------
| 4 | 8 | 5 |
-------------
| 6 | 1 | 7 |
-------------",11,209,57,0.009226800000760704,76
euclidean,"-------------
| 3 |   | 2 |
-------------
| 4 | 8 | 5 |
-------------
| 6 | 1 | 7 |
-------------",11,115,33,0.00477859999955399,41
manhattan,"-------------
| 3 |   | 2 |
-------------
| 4 | 8 | 5 |
-------------
| 6 | 1 | 7 |
-------------",11,126,34,0.0034349000015936326,46
out_of_position,"-------------
| 3 |   | 2 |
-------------
| 4 | 8 | 5 |
-------------
| 6 | 1 | 7 |
-------------",11,126,32,0.004517700002907077,47
misplaced,"-------------
| 3 | 1 | 4 |
-------------
|   | 6 | 2 |
-------------
| 7 | 5 | 8 |
-------------",11,182,48,0.00744969999868772,67
euclidean,"-------------
| 3 | 1 | 4 |
-------------
|   | 6 | 2 |
-------------
| 7 | 5 | 8 |
-------------",11,93,29,0.002378699999098899,32
manhattan,"-------------
| 3 | 1 | 4 |
-------------
|   | 6 | 2 |
-------------
| 7 | 5 | 8 |
-------------",11,68,20,0.002457399998093024,24
out_of_position,"-------------
| 3 | 1 | 4 |
-------------
|   | 6 | 2 |
-------------
| 7 | 5 | 8 |
-------------",11,72,20,0.0018770999995467719,26
misplaced,"-------------
| 6 | 1 | 2 |
-------------
|   | 4 | 5 |
-------------
| 7 | 3 | 8 |
-------------",9,113,29,0.002547000000049593,42
euclidean,"-------------
| 6 | 1 | 2 |
-------------
|   | 4 | 5 |
-------------
| 7 | 3 | 8 |
-------------",9,77,23,0.0027157000004081056,27
manhattan,"-------------
| 6 | 1 | 2 |
-------------
|   | 4 | 5 |
-------------
| 7 | 3 | 8 |
-------------",9,77,23,0.0016275999987556133,27
out_of_position,"-------------
| 6 | 1 | 2 |
-------------
|   | 4 | 5 |
-------------
| 7 | 3 | 8 |
-------------",9,88,24,0.0021527999997488223,32
misplaced,"-------------
| 3 | 2 | 5 |
-------------
|   | 6 | 1 |
-------------
| 7 | 4 | 8 |
-------------",9,70,20,0.0010696999997890089,25
euclidean,"-------------
| 3 | 2 | 5 |
-------------
|   | 6 | 1 |
-------------
| 7 | 4 | 8 |
-------------",9,49,15,0.0016572999993513804,17
